onset,caseid,infector
6,3,0
6,4,0
7,9,0
8,2,0
9,10,0
11,6,0
13,5,0
13,207,2
14,1,0
14,7,0
14,8,0
14,11,3
14,23,4
14,155,3
14,189,10
18,14,4
18,24,6
18,42,10
19,188,8
20,52,10
20,101,23
20,187,1
21,20,5
21,25,6
21,145,6
21,147,23
22,12,10
22,21,5
22,44,23
22,90,8
23,13,5
23,57,5
23,77,24
23,129,24
24,33,7
24,183,155
25,37,8
25,43,14
25,117,2
25,156,24
25,227,42
26,36,7
26,76,23
27,15,5
27,35,25
27,70,14
27,203,155
28,18,14
28,38,33
28,105,1
28,133,57
29,17,14
29,94,42
29,158,25
30,47,36
30,63,42
30,69,14
30,130,42
30,146,23
