"onset","caseid","infector"
6,3,1
12,2,1
15,10,2
16,8,2
17,5,2
18,11,2
19,7,2
19,18,8
21,12,2
21,15,8
21,17,8
23,4,2
23,6,2
23,9,2
24,20,8
24,35,18
25,25,9
26,21,8
26,22,8
26,23,9
27,52,25
28,16,8
29,19,8
29,34,18
29,36,18
29,37,18
30,29,13
30,41,22
31,54,25
32,24,9
32,42,22
32,53,25
33,32,15
34,13,7
34,14,8
35,33,15
35,48,24
35,49,24
35,81,48
36,26,9
36,87,53
37,68,34
37,73,42
38,51,25
39,40,22
39,43,23
39,59,29
40,38,21
40,46,24
40,47,24
40,88,53
40,114,87
41,30,13
41,62,32
42,44,24
42,66,33
43,27,13
43,39,22
43,45,24
43,50,24
43,60,29
43,99,67
44,65,33
44,67,34
44,69,38
44,104,73
45,28,13
45,64,33
45,72,42
45,94,62
46,31,14
46,61,32
46,82,49
46,84,51
47,75,43
47,76,43
47,105,73
48,79,45
48,102,73
49,56,27
49,71,38
49,86,51
49,101,73
49,103,73
49,146,122
50,77,44
51,63,33
51,74,43
51,80,46
51,122,104
52,55,27
52,85,51
52,121,104
53,78,44
53,95,62
54,106,73
54,108,84
55,107,76
55,113,86
56,125,106
56,154,125
57,57,27
57,58,27
57,83,51
57,98,66
57,152,122
58,91,56
58,109,85
59,96,64
59,149,122
59,150,122
59,166,146
60,70,38
60,89,55
60,144,121
61,90,55
61,93,62
61,124,106
61,147,122
61,170,149
62,97,64
62,111,85
62,126,107
62,145,121
62,151,122
63,110,85
64,112,85
64,127,107
64,148,122
65,100,70
65,128,110
65,155,125
66,130,111
66,176,152
67,92,61
67,117,91
67,119,93
67,153,124
68,129,111
68,164,145
68,168,149
69,174,150
69,191,174
70,123,106
70,171,149
70,175,150
70,177,153
71,116,91
71,173,149
72,138,117
73,115,90
73,156,126
73,167,148
73,169,149
74,134,112
74,140,117
74,188,171
74,195,191
75,132,112
75,136,117
75,172,149
76,131,112
76,135,117
76,137,117
76,192,175
77,118,92
77,139,117
77,160,140
77,187,169
77,189,171
78,201,195
79,120,97
80,159,138
80,185,167
81,184,160
81,196,191
81,200,195
83,165,145
83,186,167
83,199,195
84,133,112
84,157,129
84,190,171
85,198,195
85,204,200
87,142,120
87,197,195
88,182,159
88,207,204
89,143,120
89,183,159
89,193,185
89,194,185
90,181,159
92,158,137
93,141,118
93,162,142
93,179,157
94,178,157
94,203,200
96,163,142
96,180,158
97,206,204
98,202,197
98,205,203
103,161,142
