"onset","caseid","infector"
7,2,1
7,3,1
8,5,1
8,6,1
8,9,3
10,8,2
10,12,9
16,4,1
18,7,2
18,20,12
21,10,6
22,11,8
24,14,10
26,13,10
26,22,13
29,17,11
31,19,11
32,21,13
33,29,17
33,33,22
33,47,33
35,18,11
35,31,22
37,30,18
38,15,10
40,16,11
40,43,30
40,45,31
42,24,15
42,28,17
43,23,15
43,32,22
45,26,16
45,41,29
45,42,29
46,44,30
47,39,27
47,54,43
48,46,32
49,27,16
50,37,26
52,40,28
53,25,15
55,34,23
55,52,41
56,38,26
57,36,24
57,53,41
58,35,24
60,50,40
61,51,40
61,57,52
64,48,36
67,58,52
70,49,38
77,56,49
78,55,49
79,61,57
85,65,60
86,59,55
86,60,56
89,63,59
90,62,59
91,64,59
94,73,64
97,67,62
98,70,62
99,69,62
99,71,62
100,68,62
101,66,60
104,72,64
109,74,66
